what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1474390082454
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1474390084769
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1474390084769
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1474390087451
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1474390093827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390094939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390106460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474390107762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390108165
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474390119889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390122433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390126144
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1474390127496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474390128250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390130202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390131734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390133236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390134971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390137134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390137911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390138516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390154035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390156437
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1474390158292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474390158858
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1474390164973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390166308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390167542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390175598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474390182852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390183952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474390188424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390191670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390202222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390215698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390223794
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1474390226456
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1474390226769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1474390227326
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1474390227497
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1474390228544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474390228944
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1474390229760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390231868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390235298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390244387
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474390247688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390248985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390254107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390256304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390262830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390265695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390270504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474390272682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390273113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1474390276047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1474390276542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1474390276749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390277618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390281377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390283342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390284982
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474390285105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390285976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390287891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390290269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390303126
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1474390304496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390305976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390307995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390310033
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474390311056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474390312186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474390312346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390312817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390328265
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1474390329563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474390330646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390333346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390334864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390335202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474390377405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474390380969
